Day,Start Time,End Time,Artist,Stage
Friday,5:00 PM,7:00 PM,Heidi Lawden B2B Masha Mar,Bionic Jungle
Friday,5:00 PM,6:55 PM,Max Dean B2B Luke Dean,Cosmic Meadow
Friday,7:00 PM,8:00 PM,1991,Circuit Grounds
Friday,7:00 PM,8:00 PM,Abana B2B Juliet Mendoza,Stereo Bloom
Friday,7:00 PM,8:30 PM,Anastazja,Neon Garden
Friday,7:00 PM,8:00 PM,Big Daddy Kess,Forest House
Friday,7:00 PM,8:30 PM,DØMINA,Wasteland
Friday,7:00 PM,8:15 PM,gl00m13,Picnic Party Art Car
Friday,7:00 PM,7:55 PM,Jackie Hollander,Cosmic Meadow
Friday,7:00 PM,8:30 PM,Jem,Electrolit Hydration House
Friday,7:00 PM,8:00 PM,JRuiz,Casa Bacardí
Friday,7:00 PM,8:30 PM,The Kandyman,Insomniac Fridays
Friday,7:00 PM,8:00 PM,Laidback Luke B2B Chuckie,Kinetic Field
Friday,7:00 PM,8:15 PM,Not Not,BeatBox Art Car
Friday,7:00 PM,7:50 PM,RIOT,Basspod
Friday,7:00 PM,8:00 PM,Sarah de Warren,Quantum Valley
Friday,7:00 PM,8:00 PM,Soso Drii,YeeDC!
Friday,7:00 PM,8:00 PM,Stacy Christine,Bionic Jungle
Friday,7:00 PM,8:30 PM,Trouble,Takis Rave Hangar
Friday,7:50 PM,8:40 PM,HEYZ,Basspod
Friday,7:55 PM,8:55 PM,Roddy Lima,Cosmic Meadow
Friday,8:00 PM,9:00 PM,Bou,Circuit Grounds
Friday,8:00 PM,9:00 PM,Cardo,Casa Bacardí
Friday,8:00 PM,9:30 PM,The Carry Nation,Bionic Jungle
Friday,8:00 PM,9:00 PM,Korolova,Kinetic Field
Friday,8:00 PM,9:00 PM,Matty Ralph,Quantum Valley
Friday,8:00 PM,9:00 PM,SLAMM,Stereo Bloom
Friday,8:00 PM,9:00 PM,Sussy,Forest House
Friday,8:15 PM,9:30 PM,Mer Bear,BeatBox Art Car
Friday,8:15 PM,9:30 PM,Punky Brewstar,Picnic Party Art Car
Friday,8:30 PM,9:45 PM,Demigod,Insomniac Fridays
Friday,8:30 PM,10:00 PM,Dip Vertigo,Takis Rave Hangar
Friday,8:30 PM,10:00 PM,MËSTIZA,Neon Garden
Friday,8:30 PM,9:30 PM,Serafina,Wasteland
Friday,8:40 PM,9:30 PM,MUZZ,Basspod
Friday,8:45 PM,9:45 PM,$ami G,YeeDC!
Friday,8:55 PM,9:55 PM,Westend,Cosmic Meadow
Friday,9:00 PM,10:00 PM,Argy,Kinetic Field
Friday,9:00 PM,10:00 PM,Cold Blue,Quantum Valley
Friday,9:00 PM,10:00 PM,Dono,Forest House
Friday,9:00 PM,10:00 PM,J Patron,Casa Bacardí
Friday,9:00 PM,10:15 PM,Luuk van Dijk,Stereo Bloom
Friday,9:00 PM,10:00 PM,Nico Moreno,Circuit Grounds
Friday,9:30 PM,10:30 PM,GorillaT,Basspod
Friday,9:30 PM,10:45 PM,InSpeKtor GadJet,Picnic Party Art Car
Friday,9:30 PM,10:30 PM,Johannes Schuster,Wasteland
Friday,9:30 PM,10:45 PM,Lady Sinclair,BeatBox Art Car
Friday,9:30 PM,11:00 PM,Massimiliano Pagliara,Bionic Jungle
Friday,9:45 PM,11:00 PM,Louis Love,Insomniac Fridays
Friday,9:55 PM,10:55 PM,Walker & Royce B2B VNSSA,Cosmic Meadow
Friday,10:00 PM,11:30 PM,CC Love,Casa Bacardí
Friday,10:00 PM,11:30 PM,DJ Tennis B2B Chloé Caillet,Neon Garden
Friday,10:00 PM,11:15 PM,I Hate Models,Circuit Grounds
Friday,10:00 PM,11:30 PM,Kelland,Electrolit Hydration House
Friday,10:00 PM,11:30 PM,Machete,Takis Rave Hangar
Friday,10:00 PM,11:00 PM,Max Low,Forest House
Friday,10:00 PM,11:00 PM,Pegassi,Quantum Valley
Friday,10:07 PM,11:15 PM,Chris Lorenzo,Kinetic Field
Friday,10:15 PM,11:15 PM,Dirty Audio,YeeDC!
Friday,10:15 PM,11:30 PM,Omar+,Stereo Bloom
Friday,10:30 PM,11:30 PM,Adrián Mills,Wasteland
Friday,10:30 PM,11:30 PM,Ghengar,Basspod
Friday,10:45 PM,12:00 AM,SKIBKID,Picnic Party Art Car
Friday,10:45 PM,12:00 AM,Tsu Nami presents Club Tsu,BeatBox Art Car
Friday,11:00 PM,12:00 AM,Darude,Quantum Valley
Friday,11:00 PM,12:00 AM,Joey G,Forest House
Friday,11:00 PM,12:30 AM,PARAMIDA,Bionic Jungle
Friday,11:00 PM,12:15 AM,R.A.W.,Insomniac Fridays
Friday,11:10 PM,12:10 AM,Underworld,Cosmic Meadow
Friday,11:15 PM,12:25 AM,Levity,Circuit Grounds
Friday,11:19 PM,12:28 AM,Sofi Tukker,Kinetic Field
Friday,11:30 PM,12:30 AM,Cloudy,Wasteland
Friday,11:30 PM,1:00 AM,Danny The Wildchild,Takis Rave Hangar
Friday,11:30 PM,12:30 AM,Deathpact ∞ Deathpact,Basspod
Friday,11:30 PM,1:00 AM,JFUSE,Casa Bacardí
Friday,11:30 PM,1:00 AM,Juliet Mendoza,Electrolit Hydration House
Friday,11:30 PM,12:45 AM,Luke Dean,Stereo Bloom
Friday,11:30 PM,1:00 AM,Peggy Gou,Neon Garden
Friday,12:00 AM,1:30 AM,99jakes,Picnic Party Art Car
Friday,12:00 AM,1:30 AM,ARMNHMR presents Passport,BeatBox Art Car
Friday,12:00 AM,1:00 AM,Cosmic Gate,Quantum Valley
Friday,12:00 AM,1:00 AM,Grant Fisher,YeeDC!
Friday,12:00 AM,1:00 AM,Taylor Kade,Forest House
Friday,12:15 AM,1:30 AM,Ron D Core,Insomniac Fridays
Friday,12:25 AM,1:40 AM,MEDUZA³,Cosmic Meadow
Friday,12:25 AM,1:35 AM,Wooli,Circuit Grounds
Friday,12:30 AM,1:30 AM,ATLiens,Basspod
Friday,12:30 AM,1:30 AM,KUKO,Wasteland
Friday,12:30 AM,2:30 AM,salute B2B Chloé Caillet,Bionic Jungle
Friday,12:32 AM,1:40 AM,The Chainsmokers,Kinetic Field
Friday,12:45 AM,2:00 AM,Josh Baker,Stereo Bloom
Friday,1:00 AM,2:30 AM,Adriatique,Neon Garden
Friday,1:00 AM,2:00 AM,Castor & Pollux,Forest House
Friday,1:00 AM,2:30 AM,Dramos,Casa Bacardí
Friday,1:00 AM,2:00 AM,Gareth Emery,Quantum Valley
Friday,1:00 AM,2:30 AM,Gold Lemonade,Electrolit Hydration House
Friday,1:00 AM,2:30 AM,MR DEEDS,Takis Rave Hangar
Friday,1:30 AM,3:00 AM,ero808,BeatBox Art Car
Friday,1:30 AM,2:30 AM,GRAVEDGR,Wasteland
Friday,1:30 AM,3:00 AM,Hixxy,Picnic Party Art Car
Friday,1:30 AM,2:30 AM,Kai Wachi,Basspod
Friday,1:30 AM,2:45 AM,Moonpup,Insomniac Fridays
Friday,1:30 AM,2:30 AM,Roadhouse,YeeDC!
Friday,1:35 AM,2:35 AM,The Outlaw,Circuit Grounds
Friday,1:47 AM,2:57 AM,Fisher,Kinetic Field
Friday,1:47 AM,2:47 AM,Notion,Cosmic Meadow
Friday,2:00 AM,3:00 AM,Ilan Bluestone,Quantum Valley
Friday,2:00 AM,3:15 AM,Max Dean,Stereo Bloom
Friday,2:00 AM,3:00 AM,Zaanee,Forest House
Friday,2:30 AM,3:30 AM,Adventure Club (Throwback Set),Basspod
Friday,2:30 AM,4:00 AM,Guari,Casa Bacardí
Friday,2:30 AM,4:00 AM,Joseph Capriati,Neon Garden
Friday,2:30 AM,4:00 AM,NXSTY,Electrolit Hydration House
Friday,2:30 AM,4:00 AM,R.A.W.,Takis Rave Hangar
Friday,2:30 AM,3:30 AM,Rebekah,Wasteland
Friday,2:30 AM,4:00 AM,Robert Hood,Bionic Jungle
Friday,2:35 AM,3:30 AM,Holy Priest,Circuit Grounds
Friday,2:45 AM,4:00 AM,Steve Leclair,Insomniac Fridays
Friday,2:47 AM,4:02 AM,MPH,Cosmic Meadow
Friday,3:00 AM,4:15 AM,Kelland,BeatBox Art Car
Friday,3:00 AM,4:15 AM,Kygore,Picnic Party Art Car
Friday,3:00 AM,4:00 AM,Paul van Dyk,Quantum Valley
Friday,3:00 AM,4:00 AM,TC,Forest House
Friday,3:01 AM,4:10 AM,Porter Robinson (DJ Set),Kinetic Field
Friday,3:15 AM,4:15 AM,Lucky Lou,YeeDC!
Friday,3:15 AM,4:30 AM,Obskür,Stereo Bloom
Friday,3:30 AM,4:30 AM,Culture Shock,Basspod
Friday,3:30 AM,4:30 AM,DYEN,Wasteland
Friday,3:30 AM,4:30 AM,Ray Volpe,Circuit Grounds
Friday,4:00 AM,5:30 AM,Avalon Emerson,Bionic Jungle
Friday,4:00 AM,5:30 AM,Darren Porter,Quantum Valley
Friday,4:00 AM,5:30 AM,DJ Exile,Casa Bacardí
Friday,4:00 AM,5:30 AM,Eli Brown,Neon Garden
Friday,4:00 AM,5:30 AM,Jason Splat,Insomniac Fridays
Friday,4:00 AM,5:30 AM,PLS&TY,Forest House
Friday,4:00 AM,5:30 AM,Skanka,Takis Rave Hangar
Friday,4:02 AM,5:30 AM,San Pacho,Cosmic Meadow
Friday,4:14 AM,5:28 AM,Charlotte de Witte,Kinetic Field
Friday,4:15 AM,5:30 AM,Hartshorn,Picnic Party Art Car
Friday,4:15 AM,5:30 AM,Tavatli,BeatBox Art Car
Friday,4:30 AM,5:30 AM,Cyclops,Basspod
Friday,4:30 AM,5:30 AM,Level Up,Circuit Grounds
Friday,4:30 AM,5:30 AM,Stan Christ,Wasteland
Friday,4:30 AM,5:30 AM,Toman,Stereo Bloom
Saturday,7:00 PM,7:45 PM,AJ Ball,Forest House
Saturday,7:00 PM,8:00 PM,AR/CO,Kinetic Field
Saturday,7:00 PM,8:00 PM,Carneyval,YeeDC!
Saturday,7:00 PM,8:30 PM,CUTDWN,Wasteland
